id,title_slug,author_or_assignee,year,source_type,url,access,tier,observed_on
nccavs-feeney-2012,back-to-the-future-of-cmp-non-uniformity,feeney,2012,presentation,https://nccavs-usergroups.avs.org/wp-content/uploads/CMPUG2012/cmp2012_7feeney.pdf,free-pdf,4,
sd-groove-width-mrt,effect-of-pad-groove-width-on-slurry-mean-residence-time-and-slurry-utilization-efficiency-in-cmp,microelectronic-engineering,na,paper,https://www.sciencedirect.com/science/article/abs/pii/S0167931716300788,paywalled,2,
sd-groove-flow-numerical,a-numerical-study-on-slurry-flow-with-cmp-pad-grooves,microelectronic-engineering,na,paper,https://www.sciencedirect.com/science/article/abs/pii/S0167931720302252,paywalled,2,
sd-w-cmp-oxidants,effects-of-oxidants-on-the-removal-of-tungsten-in-cmp-process,microelectronic-engineering,2004,paper,https://www.sciencedirect.com/science/article/abs/pii/S004316480400078X,paywalled,2,
iop-sti-cmp-review,shallow-trench-isolation-chemical-mechanical-planarization-a-review,ecs-journal-of-solid-state-science-and-technology,2015,review,https://iopscience.iop.org/article/10.1149/2.0071511jss,snippet-only,2,
sd-sti-selectivity,abrasive-and-additive-interactions-in-high-selectivity-sti-cmp-slurries,microelectronic-engineering,2013,paper,https://www.sciencedirect.com/science/article/abs/pii/S0167931713006266,paywalled,2,
entegris-pva-brush,post-cmp-clean-pva-brush-advancements,entegris,na,appnote,https://www.entegris.com/content/dam/product-assets/planarcorepvabrushes/appnote-planarcore-pva-brushes-5360.pdf,free-pdf,4,
rg-particle-adhesion,particle-adhesion-and-removal-mechanisms-in-post-cmp-cleaning-processes,ieee-transactions-on-semiconductor-manufacturing,na,paper,https://www.researchgate.net/publication/3283966_Particle_adhesion_and_removal_mechanisms_in_post-CMP_cleaning_processes,snippet-only,2,
springer-diamond-shape,effect-of-cmp-conditioner-diamond-shape-on-pad-topography-and-oxide-wafer-performances,int-j-adv-manuf-technol,2010,paper,https://link.springer.com/article/10.1007/s00170-010-3055-y,snippet-only,2,
sd-diamond-disc-conditioning,diamond-disc-pad-conditioning-a-surface-element-method-to-predict-pad-surface-shape,precision-engineering,na,paper,https://www.sciencedirect.com/science/article/abs/pii/S014163591100170X,paywalled,2,
ieee-dishing-model,an-analytical-dishing-and-step-height-reduction-model-for-cmp,ieee-transactions-on-semiconductor-manufacturing,na,paper,https://ieeexplore.ieee.org/document/1219496/,snippet-only,2,
mrs-density-stepheight,re-examining-the-physical-basis-of-pattern-density-and-step-height-cmp-models,mrs-proceedings,na,conference,https://link.springer.com/article/10.1557/PROC-767-F1.3,snippet-only,3,
sst-new-cmp-architecture,new-cmp-architecture-addresses-key-process-issues,solid-state-technology,na,trade_press,https://go.gale.com/ps/i.do?id=GALE%7CA17974893&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=0038111X&p=AONE&sw=w,snippet-only,4,
entrepix-mirra,applied-materials-mirra-150mm-and-200mm-cmp-equipment,entrepix,na,vendor_page,https://www.entrepix.com/amat-mirra,snippet-only,4,
